"serial_id","fecha","hora","pos_acum","neg_acum","test_diag_acum","casos_sosp","fallecidos_acum","fallecidos_prob_acum","fallecidos_tot","fallecidos_pmill","n_mues_acum","conf_sosp_desc","pos_tasa","n_mues","test_diag","pos","por_pos","cont","por_pob","n_est","fallecidos","neg","fallecidos_test","fallecidos_prob","test_diag_pmill","n_mues_pmill","n_mues_sres","fallecidos_reg_civil"
1,2020-03-16,"16:00:00",58,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2020-03-17,"08:00:00",111,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2020-03-18,"15:00:00",168,312,480,283,3,NA,NA,NA,762,763,0.35,NA,NA,57,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2020-03-19,"16:00:00",260,412,672,481,4,NA,NA,NA,1153,1153,0.387,391,192,92,47.92,"70,844.7",0.41,332.97,NA,100,1,NA,39.3442623,67.5058548,481,NA
5,2020-03-20,"16:00:00",426,533,959,711,7,NA,NA,NA,1670,1670,0.444,517,287,166,57.84,"116,076.3",0.68,545.56,NA,121,3,NA,56.14754098,97.77517564,711,NA
6,2020-03-21,"17:00:00",532,649,1181,870,7,NA,NA,NA,2051,2051,0.45,381,222,106,47.75,"144,959.1",0.85,681.31,NA,116,0,NA,69.14519906,120.0819672,870,NA
7,2020-03-22,"10:00:00",789,872,1661,699,14,NA,NA,NA,2360,2360,0.475,309,480,257,53.54,"214,986.4",1.26,1010.44,NA,223,7,NA,97.24824356,138.1733021,699,NA
8,2020-03-23,"10:00:00",981,1091,2072,708,18,NA,NA,NA,2780,2780,0.473,420,411,192,46.72,"267,302.5",1.57,1256.32,NA,219,4,NA,121.3114754,162.763466,708,NA
9,2020-03-24,"17:00:00",1082,1225,2307,1311,27,NA,NA,NA,3618,3618,0.469,838,235,101,42.98,"294,822.9",1.73,1385.67,NA,134,9,NA,135.0702576,211.8266979,1311,NA
10,2020-03-25,"17:00:00",1211,1387,2598,1692,29,NA,NA,NA,4290,4290,0.466,672,291,129,44.33,"329,972.8",1.93,1550.87,NA,162,2,NA,152.1077283,251.1709602,1692,NA
11,2020-03-26,"17:00:00",1403,1722,3125,1965,34,NA,NA,NA,5090,5090,0.449,800,527,192,36.43,"382,288.8",2.24,1796.76,NA,335,5,NA,182.9625293,298.0093677,1965,NA
12,2020-03-27,"17:00:00",1627,1941,3568,2347,41,NA,NA,NA,5915,5915,0.456,825,443,224,50.56,"443,324.3",2.6,2083.62,NA,219,7,NA,208.8992974,346.3114754,2347,NA
13,2020-03-28,"17:00:00",1835,2100,3935,2680,48,NA,NA,NA,6615,6615,0.466,700,367,208,56.68,"500,000.0",2.93,2350,NA,159,7,NA,230.3864169,387.295082,2680,NA
14,2020-03-29,"17:00:00",1924,2199,4034,2869,58,NA,NA,NA,6992,6903,0.4548834903,NA,99,89,89.9,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2020-03-30,"17:00:00",1966,2253,4219,3232,62,NA,NA,NA,7451,7451,0.4659872008,NA,185,42,22.7,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,2020-03-31,"17:00:00",2302,2526,4828,2423,79,NA,NA,NA,8251,7251,0.477,1636,609,336,55.17,"627,248.0",3.67,2948.07,NA,426,31,NA,282.6697892,483.0796253,3423,NA
17,2020-04-01,"17:00:00",2758,2833,5591,3428,98,76,174,10.19,9019,9019,0.493,768,763,456,59.76,"751,498.6",4.4,3532.04,NA,307,19,NA,327.3419204,528.0444965,3428,NA
18,2020-04-02,"10:00:00",3163,3139,6302,3302,120,78,198,11.59,9604,9604,0.502,585,711,405,56.96,"861,852.9",5.05,4050.71,24,306,22,2,368.969555,562.295082,3302,NA
19,2020-04-03,"10:00:00",3368,3288,6656,3661,145,101,246,14.4,10317,10317,0.506,713,354,205,57.91,"917,711.2",5.37,4313.24,48,149,25,23,389.6955504,604.0398126,3661,NA
20,2020-04-04,"10:00:00",3465,3369,6834,4475,172,146,318,18.62,11309,11309,0.507,992,178,97,54.49,"944,141.7",5.53,4437.47,72,81,27,45,400.117096,662.1194379,4475,NA
21,2020-04-05,"10:00:00",3646,3603,7249,5137,180,159,339,19.85,12386,12386,0.503,1077,415,181,43.61,"993,460.5",5.82,4669.26,21,234,8,13,424.4145199,725.175644,5137,NA
22,2020-04-06,"10:00:00",3747,3843,7590,5449,191,173,364,21.31,13039,13039,0.494,653,341,101,29.62,"1,020,980.9",5.98,4798.61,25,240,11,14,444.3793911,763.4074941,5449,NA
23,2020-04-07,"17:00:00",3995,3956,7951,NA,220,182,402,23.54,14406,NA,0.502,1367,361,248,68.7,"1,088,555.9",6.37,5116.21,38,113,29,9,465.5152225,843.442623,6455,NA
24,2020-04-08,"07:00:00",4450,4208,8658,NA,242,240,482,28.22,15526,NA,0.514,1120,707,455,64.36,"1,212,534.1",7.1,5698.91,80,252,22,58,506.9086651,909.0163934,6868,NA
25,2020-04-09,"07:00:00",4965,4674,9639,NA,272,284,556,32.55,19102,NA,0.515,3576,981,515,52.5,"1,352,861.0",7.92,6358.45,74,466,30,44,564.3442623,1118.384075,9463,NA
26,2020-04-10,"07:00:00",7161,6496,13657,NA,297,311,608,35.6,21568,NA,0.524,2466,4018,2196,54.65,"1,951,226.2",11.42,9170.76,52,1822,25,27,799.5901639,1262.763466,7911,NA
27,2020-04-11,"07:00:00",7257,6944,14201,NA,315,338,653,38.23,22649,NA,0.511,1081,544,96,17.65,"1,977,384.2",11.58,9293.71,45,448,18,27,831.440281,1326.053864,8448,NA
28,2020-04-12,"08:00:00",7466,7118,14584,NA,333,384,717,41.98,23635,NA,0.512,986,383,209,54.57,"2,034,332.4",11.91,9561.36,64,174,18,46,853.8641686,1383.782201,9051,NA
29,2020-04-13,"08:00:00",7529,7297,14826,NA,355,424,779,45.61,24553,NA,0.508,918,242,63,26.03,"2,051,498.6",12.01,9642.04,62,179,22,40,868.0327869,1437.529274,9727,NA
30,2020-04-14,"08:00:00",7603,7495,15098,NA,369,436,805,47.13,25347,NA,0.504,794,272,74,27.21,"2,071,662.1",12.13,9736.81,26,198,14,12,883.9578454,1484.016393,10249,NA
