"serial_id","province_state","country_region","lat","lon","date1","value1"
98,"","Ecuador",-1.8312,-78.1834,2020-01-22,0
362,"","Ecuador",-1.8312,-78.1834,2020-01-23,0
626,"","Ecuador",-1.8312,-78.1834,2020-01-24,0
890,"","Ecuador",-1.8312,-78.1834,2020-01-25,0
1154,"","Ecuador",-1.8312,-78.1834,2020-01-26,0
1418,"","Ecuador",-1.8312,-78.1834,2020-01-27,0
1682,"","Ecuador",-1.8312,-78.1834,2020-01-28,0
1946,"","Ecuador",-1.8312,-78.1834,2020-01-29,0
2210,"","Ecuador",-1.8312,-78.1834,2020-01-30,0
2474,"","Ecuador",-1.8312,-78.1834,2020-01-31,0
2738,"","Ecuador",-1.8312,-78.1834,2020-02-01,0
3002,"","Ecuador",-1.8312,-78.1834,2020-02-02,0
3266,"","Ecuador",-1.8312,-78.1834,2020-02-03,0
3530,"","Ecuador",-1.8312,-78.1834,2020-02-04,0
3794,"","Ecuador",-1.8312,-78.1834,2020-02-05,0
4058,"","Ecuador",-1.8312,-78.1834,2020-02-06,0
4322,"","Ecuador",-1.8312,-78.1834,2020-02-07,0
4586,"","Ecuador",-1.8312,-78.1834,2020-02-08,0
4850,"","Ecuador",-1.8312,-78.1834,2020-02-09,0
5114,"","Ecuador",-1.8312,-78.1834,2020-02-10,0
5378,"","Ecuador",-1.8312,-78.1834,2020-02-11,0
5642,"","Ecuador",-1.8312,-78.1834,2020-02-12,0
5906,"","Ecuador",-1.8312,-78.1834,2020-02-13,0
6170,"","Ecuador",-1.8312,-78.1834,2020-02-14,0
6434,"","Ecuador",-1.8312,-78.1834,2020-02-15,0
6698,"","Ecuador",-1.8312,-78.1834,2020-02-16,0
6962,"","Ecuador",-1.8312,-78.1834,2020-02-17,0
7226,"","Ecuador",-1.8312,-78.1834,2020-02-18,0
7490,"","Ecuador",-1.8312,-78.1834,2020-02-19,0
7754,"","Ecuador",-1.8312,-78.1834,2020-02-20,0
8018,"","Ecuador",-1.8312,-78.1834,2020-02-21,0
8282,"","Ecuador",-1.8312,-78.1834,2020-02-22,0
8546,"","Ecuador",-1.8312,-78.1834,2020-02-23,0
8810,"","Ecuador",-1.8312,-78.1834,2020-02-24,0
9074,"","Ecuador",-1.8312,-78.1834,2020-02-25,0
9338,"","Ecuador",-1.8312,-78.1834,2020-02-26,0
9602,"","Ecuador",-1.8312,-78.1834,2020-02-27,0
9866,"","Ecuador",-1.8312,-78.1834,2020-02-28,0
10130,"","Ecuador",-1.8312,-78.1834,2020-02-29,0
10394,"","Ecuador",-1.8312,-78.1834,2020-03-01,0
10658,"","Ecuador",-1.8312,-78.1834,2020-03-02,0
10922,"","Ecuador",-1.8312,-78.1834,2020-03-03,0
11186,"","Ecuador",-1.8312,-78.1834,2020-03-04,0
11450,"","Ecuador",-1.8312,-78.1834,2020-03-05,0
11714,"","Ecuador",-1.8312,-78.1834,2020-03-06,0
11978,"","Ecuador",-1.8312,-78.1834,2020-03-07,0
12242,"","Ecuador",-1.8312,-78.1834,2020-03-08,0
12506,"","Ecuador",-1.8312,-78.1834,2020-03-09,0
12770,"","Ecuador",-1.8312,-78.1834,2020-03-10,0
13034,"","Ecuador",-1.8312,-78.1834,2020-03-11,0
13298,"","Ecuador",-1.8312,-78.1834,2020-03-12,0
13562,"","Ecuador",-1.8312,-78.1834,2020-03-13,0
13826,"","Ecuador",-1.8312,-78.1834,2020-03-14,2
14090,"","Ecuador",-1.8312,-78.1834,2020-03-15,2
14354,"","Ecuador",-1.8312,-78.1834,2020-03-16,2
14618,"","Ecuador",-1.8312,-78.1834,2020-03-17,2
14882,"","Ecuador",-1.8312,-78.1834,2020-03-18,2
15146,"","Ecuador",-1.8312,-78.1834,2020-03-19,3
15410,"","Ecuador",-1.8312,-78.1834,2020-03-20,5
15674,"","Ecuador",-1.8312,-78.1834,2020-03-21,7
15938,"","Ecuador",-1.8312,-78.1834,2020-03-22,14
16202,"","Ecuador",-1.8312,-78.1834,2020-03-23,18
16466,"","Ecuador",-1.8312,-78.1834,2020-03-24,27
16730,"","Ecuador",-1.8312,-78.1834,2020-03-25,28
16994,"","Ecuador",-1.8312,-78.1834,2020-03-26,34
17258,"","Ecuador",-1.8312,-78.1834,2020-03-27,36
17522,"","Ecuador",-1.8312,-78.1834,2020-03-28,48
17786,"","Ecuador",-1.8312,-78.1834,2020-03-29,58
18050,"","Ecuador",-1.8312,-78.1834,2020-03-30,60
18314,"","Ecuador",-1.8312,-78.1834,2020-03-31,75
18578,"","Ecuador",-1.8312,-78.1834,2020-04-01,93
18842,"","Ecuador",-1.8312,-78.1834,2020-04-02,120
19106,"","Ecuador",-1.8312,-78.1834,2020-04-03,145
19370,"","Ecuador",-1.8312,-78.1834,2020-04-04,172
19634,"","Ecuador",-1.8312,-78.1834,2020-04-05,180
19898,"","Ecuador",-1.8312,-78.1834,2020-04-06,191
20162,"","Ecuador",-1.8312,-78.1834,2020-04-07,191
20426,"","Ecuador",-1.8312,-78.1834,2020-04-08,242
20690,"","Ecuador",-1.8312,-78.1834,2020-04-09,272
20954,"","Ecuador",-1.8312,-78.1834,2020-04-10,297
