"serial_id","province_state","country_region","lat","lon","date1","value1"
90,"","Ecuador",-1.8312,-78.1834,2020-01-22,0
340,"","Ecuador",-1.8312,-78.1834,2020-01-23,0
590,"","Ecuador",-1.8312,-78.1834,2020-01-24,0
840,"","Ecuador",-1.8312,-78.1834,2020-01-25,0
1090,"","Ecuador",-1.8312,-78.1834,2020-01-26,0
1340,"","Ecuador",-1.8312,-78.1834,2020-01-27,0
1590,"","Ecuador",-1.8312,-78.1834,2020-01-28,0
1840,"","Ecuador",-1.8312,-78.1834,2020-01-29,0
2090,"","Ecuador",-1.8312,-78.1834,2020-01-30,0
2340,"","Ecuador",-1.8312,-78.1834,2020-01-31,0
2590,"","Ecuador",-1.8312,-78.1834,2020-02-01,0
2840,"","Ecuador",-1.8312,-78.1834,2020-02-02,0
3090,"","Ecuador",-1.8312,-78.1834,2020-02-03,0
3340,"","Ecuador",-1.8312,-78.1834,2020-02-04,0
3590,"","Ecuador",-1.8312,-78.1834,2020-02-05,0
3840,"","Ecuador",-1.8312,-78.1834,2020-02-06,0
4090,"","Ecuador",-1.8312,-78.1834,2020-02-07,0
4340,"","Ecuador",-1.8312,-78.1834,2020-02-08,0
4590,"","Ecuador",-1.8312,-78.1834,2020-02-09,0
4840,"","Ecuador",-1.8312,-78.1834,2020-02-10,0
5090,"","Ecuador",-1.8312,-78.1834,2020-02-11,0
5340,"","Ecuador",-1.8312,-78.1834,2020-02-12,0
5590,"","Ecuador",-1.8312,-78.1834,2020-02-13,0
5840,"","Ecuador",-1.8312,-78.1834,2020-02-14,0
6090,"","Ecuador",-1.8312,-78.1834,2020-02-15,0
6340,"","Ecuador",-1.8312,-78.1834,2020-02-16,0
6590,"","Ecuador",-1.8312,-78.1834,2020-02-17,0
6840,"","Ecuador",-1.8312,-78.1834,2020-02-18,0
7090,"","Ecuador",-1.8312,-78.1834,2020-02-19,0
7340,"","Ecuador",-1.8312,-78.1834,2020-02-20,0
7590,"","Ecuador",-1.8312,-78.1834,2020-02-21,0
7840,"","Ecuador",-1.8312,-78.1834,2020-02-22,0
8090,"","Ecuador",-1.8312,-78.1834,2020-02-23,0
8340,"","Ecuador",-1.8312,-78.1834,2020-02-24,0
8590,"","Ecuador",-1.8312,-78.1834,2020-02-25,0
8840,"","Ecuador",-1.8312,-78.1834,2020-02-26,0
9090,"","Ecuador",-1.8312,-78.1834,2020-02-27,0
9340,"","Ecuador",-1.8312,-78.1834,2020-02-28,0
9590,"","Ecuador",-1.8312,-78.1834,2020-02-29,0
9840,"","Ecuador",-1.8312,-78.1834,2020-03-01,0
10090,"","Ecuador",-1.8312,-78.1834,2020-03-02,0
10340,"","Ecuador",-1.8312,-78.1834,2020-03-03,0
10590,"","Ecuador",-1.8312,-78.1834,2020-03-04,0
10840,"","Ecuador",-1.8312,-78.1834,2020-03-05,0
11090,"","Ecuador",-1.8312,-78.1834,2020-03-06,0
11340,"","Ecuador",-1.8312,-78.1834,2020-03-07,0
11590,"","Ecuador",-1.8312,-78.1834,2020-03-08,0
11840,"","Ecuador",-1.8312,-78.1834,2020-03-09,0
12090,"","Ecuador",-1.8312,-78.1834,2020-03-10,0
12340,"","Ecuador",-1.8312,-78.1834,2020-03-11,0
12590,"","Ecuador",-1.8312,-78.1834,2020-03-12,0
12840,"","Ecuador",-1.8312,-78.1834,2020-03-13,0
13090,"","Ecuador",-1.8312,-78.1834,2020-03-14,0
13340,"","Ecuador",-1.8312,-78.1834,2020-03-15,0
13590,"","Ecuador",-1.8312,-78.1834,2020-03-16,0
13840,"","Ecuador",-1.8312,-78.1834,2020-03-17,0
14090,"","Ecuador",-1.8312,-78.1834,2020-03-18,0
14340,"","Ecuador",-1.8312,-78.1834,2020-03-19,0
14590,"","Ecuador",-1.8312,-78.1834,2020-03-20,0
14840,"","Ecuador",-1.8312,-78.1834,2020-03-21,3
15090,"","Ecuador",-1.8312,-78.1834,2020-03-22,3
15340,"","Ecuador",-1.8312,-78.1834,2020-03-23,3
15590,"","Ecuador",-1.8312,-78.1834,2020-03-24,3
15840,"","Ecuador",-1.8312,-78.1834,2020-03-25,3
16090,"","Ecuador",-1.8312,-78.1834,2020-03-26,3
16340,"","Ecuador",-1.8312,-78.1834,2020-03-27,3
16590,"","Ecuador",-1.8312,-78.1834,2020-03-28,3
16840,"","Ecuador",-1.8312,-78.1834,2020-03-29,3
17090,"","Ecuador",-1.8312,-78.1834,2020-03-30,3
17340,"","Ecuador",-1.8312,-78.1834,2020-03-31,54
17590,"","Ecuador",-1.8312,-78.1834,2020-04-01,58
17840,"","Ecuador",-1.8312,-78.1834,2020-04-02,65
18090,"","Ecuador",-1.8312,-78.1834,2020-04-03,65
18340,"","Ecuador",-1.8312,-78.1834,2020-04-04,100
18590,"","Ecuador",-1.8312,-78.1834,2020-04-05,100
18840,"","Ecuador",-1.8312,-78.1834,2020-04-06,100
19090,"","Ecuador",-1.8312,-78.1834,2020-04-07,100
19340,"","Ecuador",-1.8312,-78.1834,2020-04-08,140
19590,"","Ecuador",-1.8312,-78.1834,2020-04-09,339
19840,"","Ecuador",-1.8312,-78.1834,2020-04-10,368
